Año,Fecha,Torneo,Instancia,Rival,GF,GC,Resultado,Lugar
2022,19/02/2022,Copa de Campeones,FASE DE GRUPOS,FULL HOUSE,3,5,D,ALCO BENDAS
2022,12/02/2022,Copa de Campeones,FASE DE GRUPOS,LA COSTA,2,5,D,ALCO BENDAS
2022,6/02/2022,Copa de Campeones,FASE DE GRUPOS,DE RABONA,2,6,D,ALCO BENDAS
2021,19/12/2021,Copa de Oro,SEMI FINAL,PLATENXE,4,0,V,POLI
2021,19/12/2021,Copa de Oro,FINAL,FULL HOUSE,2,2,E,POLI
2021,12/12/2021,Copa de Oro,CUARTOS DE FINAL,INSTITUTO JP,3,0,V,POLI
2021,5/12/2021,Clausura,FECHA 4,FULL VEGANO,5,1,V,POLI
2021,5/12/2021,Clausura,FECHA 5,PLATENXE,3,1,V,POLI
2021,21/11/2021,Clausura,FECHA 3,LA RESACA,8,2,V,POLI
2021,7/11/2021,Clausura,FECHA 1,BOURBON ST,2,2,E,POLI
2021,17/10/2021,Apertura,FECHA 14,PLATENXE,3,1,V,POLI
2021,10/10/2021,Apertura,FECHA 13,LA GARRA,3,4,D,POLI
2021,3/10/2021,Apertura,FECHA 12,LA PAPA CITY,0,8,D,POLI
2021,19/09/2021,Apertura,FECHA 11,VENTOLIN JRS,8,0,V,POLI
2021,12/09/2021,Apertura,FECHA 10,TANKENCH,3,1,V,POLI
2021,5/09/2021,Apertura,FECHA 9,SIN CENSURA,4,2,V,POLI
2021,29/08/2021,Apertura,FECHA 8,PLAZA ATAHUALPA,5,5,E,POLI
2021,22/08/2021,Apertura,FECHA 7,DALE TITO JRS,3,4,D,POLI
2021,15/08/2021,Apertura,FECHA 6,PEPPERS,2,8,D,POLI
2021,8/08/2021,Apertura,FECHA 5,INSTITUTO JP,5,1,V,POLI
2021,1/08/2021,Apertura,FECHA 4,EL RETIRO,0,6,D,POLI
2021,18/07/2021,Apertura,FECHA 3,REYES DE LAS ROJAS,4,2,V,POLI
2021,11/07/2021,Apertura,FECHA 2,BOURBON ST,1,4,D,POLI
2021,4/07/2021,Amistosos,,KRAKEN,4,0,V,POLI
2021,27/06/2021,Amistosos,,LA VAGONETA,7,4,V,POLI
2021,30/05/2021,Amistosos,,EL RETIRO,4,5,D,POLI
2021,14/03/2021,Apertura,FECHA 1,FULL VEGANO,2,1,V,POLI
2021,10/03/2021,Pretemporada,,FULL VEGANO,3,2,V,POLI
2021,25/02/2021,Pretemporada,,SIN CENSURA,3,1,V,RINCONADA
2021,19/02/2021,Pretemporada,,SALUS,3,2,V,POLI
2021,12/02/2021,Pretemporada,,TANKENCH,3,3,E,POLI
